algorithm,MBF,MBF_std,AES,SR,avg_time,time_std
genetic_algorithm,12.003333333333332,2.739051350166801,18471.666666666668,20.0,24.5581937233607,2.5163098053583384
genetic_local_search_sa,10.069999999999999,1.2092032144321745,10400.0,46.666666666666664,353.5185643275579,56.14894102252141
genetic_local_search_tabu,4.74,1.4801211506797862,8563.333333333334,100.0,117.97529493172964,16.330683011498614
